epoch, train_loss        , eval_loss    , eval_top1         , eval_top5
    0, 6.84023916721344  , 6.93574      ,  0.108            ,  0.542
    1, 6.643500878260686 , 6.91763375   ,  0.14             ,  0.7039999998474121
    2, 6.446281038797819 , 6.964735     ,  0.186            ,  0.844
    3, 6.200261840453515 , 7.0420175    ,  0.218            ,  1.068
    4, 5.987785229316125 , 6.91535125   ,  0.45             ,  1.694
    5, 5.820821129358732 , 6.35042125   ,  1.626            ,  5.452
    6, 5.6195578300035915, 5.397465     ,  8.712000000610352, 21.914000002746583
    7, 5.519280378635113 , 4.3591575    , 21.80800000366211 , 43.442
    8, 5.344878105016855 , 3.62879      , 31.987999997558592, 56.442000034179685
    9, 5.182289682901823 , 3.130885     , 39.89000000732422 , 64.99600000488282
   10, 4.884680738815894 , 2.78740625   , 45.93800001953125 , 70.92399999023438
   11, 4.946119831158565 , 2.526109375  , 50.70200000366211 , 75.264
   12, 4.6694094355289755, 2.332505     , 54.25599999267578 , 78.306
   13, 4.689380746621352 , 2.168416875  , 57.316000009765624, 80.62800001953126
   14, 4.560081789126763 , 2.034280625  , 59.514000002441406, 82.51000001220703
   15, 4.5062788633199835, 1.925573125  , 61.49600001953125 , 83.90000000488281
   16, 4.561998940431154 , 1.8407709375 , 63.0780000390625  , 85.13599997558593
   17, 4.491939475903144 , 1.77713625   , 64.50000001953126 , 86.14599997070313
   18, 4.396176154796894 , 1.7336515625 , 65.43399999023437 , 86.82199999511718
   19, 4.448526327426617 , 1.70636375   , 66.27400001464844 , 87.40399999267578
   20, 4.43850479217676  , 1.68574375   , 66.96200000976563 , 87.84600001220703
   21, 4.349631025240972 , 1.6628421875 , 67.63600001708984 , 88.2340000390625
   22, 4.365021237960229 , 1.641595     , 68.09399998535156 , 88.69200001464844
   23, 4.337553125161391 , 1.61796125   , 68.6620000390625  , 89.07599996582032
   24, 4.413680282922892 , 1.59433625   , 69.16200000976562 , 89.34000001220703
   25, 4.315376162528992 , 1.5733325    , 69.56600000488281 , 89.60800000976562
   26, 4.2390148639678955, 1.54654375   , 69.92599998535157 , 89.81999998535156
   27, 4.215913767998035 , 1.532023125  , 70.21600000732421 , 90.02600001220704
   28, 4.212586434987875 , 1.51357125   , 70.50199998046875 , 90.21000003417969
   29, 4.272545466056237 , 1.498328125  , 70.8300000390625  , 90.31199998535156
   30, 4.1921184200506945, 1.4812240625 , 71.00000001220702 , 90.45400000732423
   31, 4.193296097792112 , 1.46638125   , 71.30000000976563 , 90.54000003173829
   32, 4.106832866485302 , 1.449468125  , 71.54399998046875 , 90.76000003173829
   33, 4.128843600933369 , 1.4348840625 , 71.856            , 90.91200000488281
   34, 4.077484827775222 , 1.428396875  , 72.04799997070313 , 90.9580000048828
   35, 4.0841311399753275, 1.415845625  , 72.14600002441406 , 91.06000005859374
   36, 4.158889339520381 , 1.408543125  , 72.2699999975586  , 91.24200000488281
   37, 4.041342180508834 , 1.395983125  , 72.45000001708985 , 91.34200005371093
   38, 4.173840197233053 , 1.3895415625 , 72.6139999975586  , 91.39000005371093
   39, 3.9969384349309482, 1.38199625   , 72.68600002441406 , 91.47000002929687
   40, 4.099123670504643 , 1.372341875  , 72.91399999267578 , 91.54800002685546
   41, 4.062085949457609 , 1.3625334375 , 73.066            , 91.638
   42, 4.055262987430279 , 1.3553628125 , 73.17599997070313 , 91.69000002685547
   43, 4.108391582965851 , 1.3472634375 , 73.21999997070313 , 91.80000005371093
   44, 4.0296072501402636, 1.338416875  , 73.31399999511719 , 91.81200002685547
   45, 3.9563111708714414, 1.331865     , 73.41399999267578 , 91.80800005371094
   46, 4.06736310170247  , 1.3309325    , 73.41399998779296 , 91.886
   47, 4.095656582942376 , 1.3272590625 , 73.51000001220703 , 91.882
   48, 4.081772662126101 , 1.323931875  , 73.64599999023437 , 91.86800005371094
   49, 4.040611166220445 , 1.3183384375 , 73.71799999023438 , 92.03200003173828
   50, 4.080528470186087 , 1.311520625  , 73.8020000390625  , 92.08200002685547
   51, 4.004114471949064 , 1.3033225    , 73.83399999023437 , 92.12600005371094
   52, 3.8939896592727075, 1.29650625   , 73.86599999267578 , 92.21800002685546
   53, 3.9510511572544393, 1.297061875  , 73.94399996582031 , 92.276
   54, 3.946815761236044 , 1.290389375  , 74.14000001220703 , 92.374
   55, 3.8964182505240808, 1.2846840625 , 74.22400001464844 , 92.312
   56, 3.9955655428079457, 1.27755375   , 74.3460000390625  , 92.32400005371093
   57, 3.90456701700504  , 1.275539375  , 74.49599998535156 , 92.38200002685547
   58, 3.9408916234970093, 1.2731275    , 74.65400001220704 , 92.38000002441406
   59, 3.943666091332069 , 1.269708125  , 74.54200001220703 , 92.43000005371094
   60, 4.0324677137228155, 1.2675909375 , 74.74199998535157 , 92.43800005371094
   61, 3.9464812187048106, 1.2647840625 , 74.66000001220704 , 92.53800002685547
   62, 4.000069907078376 , 1.25838875   , 74.81800001220704 , 92.54400002929688
   63, 3.9039048094015856, 1.2563809375 , 74.88599998535156 , 92.56000002685546
   64, 3.976153213244218 , 1.257375625  , 74.93999999023437 , 92.55200002685547
   65, 3.8271678273494425, 1.257685     , 74.91599999267578 , 92.53800002929688
   66, 3.8159608978491564, 1.2537809375 , 75.00000001220702 , 92.56200002685547
   67, 3.9065866699585547, 1.2498371875 , 75.05399999023437 , 92.68400002685547
   68, 3.8384568049357486, 1.24373875   , 75.17000000976563 , 92.748
   69, 3.9409183309628415, 1.240223125  , 75.24600000976562 , 92.85400002197265
   70, 3.8458879865132847, 1.23726125   , 75.29600003417968 , 92.83800002197266
   71, 3.7585950814760647, 1.231485625  , 75.35800003417968 , 92.87400002197266
   72, 3.8724223650418796, 1.230249375  , 75.45800001464843 , 92.95200002197265
   73, 3.897087220962231 , 1.228106875  , 75.51200001708985 , 92.98400004882812
   74, 3.8978374554560733, 1.226790625  , 75.46799996582031 , 92.94800002441406
   75, 3.8480169773101807, 1.2269625    , 75.65199998535157 , 93.01600004882812
   76, 3.8388297649530263, 1.2241084375 , 75.56400000732422 , 92.98600001953125
